Neurona,Fase,Frecuencia,romega,Amplitud
0,1.9779906923844923,0.00942477796076938,3.0,1.688433702688295
1,4.682216736007667,0.00942477796076938,3.0,2.2891450152220933
2,2.878858610328011,0.047123889803846894,15.0,2.113774540469837
3,0.46949925932861125,0.00942477796076938,3.0,2.566527179221313
4,0.19764055624397156,0.047123889803846894,15.0,3.6069171218063936
5,2.307616794298941,0.00942477796076938,3.0,3.9643529739077463
6,2.3099736893985443,0.00942477796076938,3.0,0.7179124565269936
7,2.521706973860352,0.047123889803846894,15.0,3.7222270152060783
8,1.74400920873185,0.00942477796076938,3.0,1.4484226102903812
9,3.1229802096270154,0.00942477796076938,3.0,2.5567153833909444
10,5.215044610898418,0.00942477796076938,3.0,3.2013752662962327
11,5.8470514547884935,0.047123889803846894,15.0,0.09821828337686744
12,5.762157270152144,0.047123889803846894,15.0,3.7192441912468106
13,3.1218371805649276,0.00942477796076938,3.0,1.7093207872325382
14,1.568733307761243,0.00942477796076938,3.0,1.8750145314325084
15,6.20956261282631,0.047123889803846894,15.0,2.62204331660927
16,3.944913658230442,0.00942477796076938,3.0,1.613042786728593
17,0.5548720902410805,0.00942477796076938,3.0,1.0282522536348964
18,3.5971602503517817,0.047123889803846894,15.0,3.7781973323490896
19,3.1805737758918515,0.047123889803846894,15.0,0.19023669110207875
20,6.20475983491637,0.047123889803846894,15.0,1.0382447650324962
21,4.2320022389930685,0.047123889803846894,15.0,3.321063259625077
22,3.347600192999955,0.00942477796076938,3.0,1.1565670178919771
23,5.8252849518751955,0.047123889803846894,15.0,2.556151754915823
24,3.472813842351885,0.00942477796076938,3.0,3.2752054122449388
25,5.028807365400092,0.047123889803846894,15.0,0.7159386265601988
26,1.096928024585938,0.047123889803846894,15.0,3.8484497027019215
27,1.8374539080474186,0.047123889803846894,15.0,1.5322451035092963
28,1.6500467680153454,0.047123889803846894,15.0,0.3447047875456497
29,3.7311537928559892,0.047123889803846894,15.0,0.5492723775579691
30,3.470691914161266,0.00942477796076938,3.0,0.32360870360075955
31,5.108019250892848,0.00942477796076938,3.0,2.637579755092722
32,6.254407164279159,0.047123889803846894,15.0,3.3615160979275664
33,5.9028798128463515,0.00942477796076938,3.0,3.1780827563511016
34,3.2414868200714704,0.047123889803846894,15.0,3.205178056704683
35,5.590756171530376,0.047123889803846894,15.0,0.1716533306374366
36,1.3695953640775764,0.00942477796076938,3.0,1.311229023631395
37,0.41883386220962543,0.00942477796076938,3.0,2.1960809388768694
38,4.58954278570992,0.00942477796076938,3.0,2.054661740158367
39,0.36450904797813827,0.00942477796076938,3.0,0.6660420323561143
40,3.871877554532611,0.00942477796076938,3.0,1.9406177404216272
41,2.3219776338933387,0.047123889803846894,15.0,1.4137213440911762
42,0.734501234907634,0.00942477796076938,3.0,3.0200738694638383
43,4.696998491797469,0.047123889803846894,15.0,3.8485073388616575
44,4.357141520919021,0.00942477796076938,3.0,2.164057719508475
45,0.278793733363587,0.047123889803846894,15.0,2.841184439073757
46,6.190792302538436,0.047123889803846894,15.0,2.372857091143107
47,5.613444102717369,0.00942477796076938,3.0,2.039790649802166
48,4.084198095788584,0.047123889803846894,15.0,2.321749345228117
49,5.1246867039380515,0.047123889803846894,15.0,3.986287171419091
50,1.674086667572694,0.00942477796076938,3.0,1.7464757227712915
51,3.476126930032068,0.047123889803846894,15.0,3.187645370384221
52,3.715361053416377,0.00942477796076938,3.0,1.8235313305323353
53,4.992301861942363,0.00942477796076938,3.0,1.0919319332645783
54,2.7340572277244486,0.00942477796076938,3.0,1.6671120054706687
55,0.7404152460219182,0.047123889803846894,15.0,2.217096042515273
56,4.716768675097623,0.00942477796076938,3.0,3.4319512289629377
57,4.533947561500258,0.047123889803846894,15.0,1.8975714420990513
58,5.349181835242163,0.00942477796076938,3.0,3.3700965735750024
59,1.5364993613783056,0.00942477796076938,3.0,2.21956005908684
60,0.7424434082182538,0.047123889803846894,15.0,1.0351544491349145
61,2.3131895000783724,0.047123889803846894,15.0,2.2448361789735203
62,6.178854150251817,0.00942477796076938,3.0,3.4729636173266623
63,3.9198779389063247,0.047123889803846894,15.0,2.64169743701884
64,5.22389402788296,0.047123889803846894,15.0,1.6151722703178528
65,6.27036907830371,0.00942477796076938,3.0,1.9072860588588059
66,6.255490134650002,0.00942477796076938,3.0,1.4451640031168687
67,5.993897919633972,0.00942477796076938,3.0,3.1474773592128593
68,4.7862630137763595,0.00942477796076938,3.0,0.056797967515793246
69,0.07633355455349153,0.00942477796076938,3.0,1.4778422940887568
70,4.411940715036921,0.00942477796076938,3.0,2.255679045317765
71,1.0947868818084459,0.047123889803846894,15.0,1.1441076950826838
72,1.0172866838437615,0.00942477796076938,3.0,0.7257991782978985
73,4.556847313411635,0.047123889803846894,15.0,3.548424472209851
74,2.509671006088366,0.00942477796076938,3.0,1.6914602974983373
75,3.4420443543944734,0.047123889803846894,15.0,0.12037123833101404
76,4.657900306078267,0.00942477796076938,3.0,0.333334427538003
77,1.8671799590672946,0.047123889803846894,15.0,2.7094628599897064
78,2.539979060865046,0.047123889803846894,15.0,2.403092871228231
79,2.4308113660515906,0.00942477796076938,3.0,3.7377563175136834
80,3.5227266563262645,0.047123889803846894,15.0,2.011393237373178
81,1.0238640644221064,0.047123889803846894,15.0,1.3656545248586158
82,5.276561462555609,0.047123889803846894,15.0,0.5299596158534974
83,1.4395352752246628,0.047123889803846894,15.0,3.0441348803664807
84,2.584701974302386,0.00942477796076938,3.0,2.953908010631574
85,1.5063911592835397,0.00942477796076938,3.0,1.3325224978895043
86,5.655873911812232,0.047123889803846894,15.0,2.5721329960014327
87,2.231939405454073,0.047123889803846894,15.0,0.43847367914892654
88,0.7875626216740357,0.047123889803846894,15.0,0.1625264842995433
