Neurona,Fase,Frecuencia,romega,Amplitud
0,5.171171569459872,0.00942477796076938,3.0,0.4859427429163867
1,1.349569467821935,0.047123889803846894,15.0,2.3240926148726126
2,5.348947863896042,0.047123889803846894,15.0,0.04840780776054565
3,1.382322124154243,0.00942477796076938,3.0,0.7688061455089441
4,0.425342581239047,0.00942477796076938,3.0,0.07883876385264976
5,6.279816137517326,0.00942477796076938,3.0,0.9612907877718397
6,0.5034552688860202,0.00942477796076938,3.0,1.275601895365814
7,1.6606955142167148,0.00942477796076938,3.0,3.5941715923862807
8,1.0645586102934403,0.00942477796076938,3.0,1.776771893827199
9,4.878463658190623,0.00942477796076938,3.0,1.8455069066737364
10,0.39908346640404807,0.00942477796076938,3.0,3.5321399338167105
11,2.45978872698424,0.00942477796076938,3.0,3.3289338585024786
12,6.125690267370627,0.00942477796076938,3.0,0.005588862472055034
13,4.0024082798549205,0.047123889803846894,15.0,2.722409515231443
14,4.421042537224608,0.00942477796076938,3.0,1.3938463959458849
15,2.4682907497925717,0.00942477796076938,3.0,1.4914363710539336
16,1.7150778989564734,0.047123889803846894,15.0,3.3235510775207207
17,1.2707558049660046,0.047123889803846894,15.0,3.9849052578032493
18,2.3077882761421398,0.047123889803846894,15.0,3.4848900890797516
19,0.8637399480595532,0.00942477796076938,3.0,1.4051980422638075
20,3.665935311749494,0.047123889803846894,15.0,0.6239918530863533
21,3.3396514509122444,0.00942477796076938,3.0,2.1209802887216402
22,3.396291244163007,0.00942477796076938,3.0,0.41446079074823317
23,0.46815951929678484,0.00942477796076938,3.0,2.476603634196051
24,4.519717891201208,0.00942477796076938,3.0,0.25389579609622714
25,6.147051069803052,0.047123889803846894,15.0,1.6935934775520853
26,1.6758641735621664,0.047123889803846894,15.0,1.2732065244009374
27,5.12369841599206,0.00942477796076938,3.0,1.1952872686889604
28,0.5089861917328232,0.047123889803846894,15.0,0.7635845508287629
29,5.858849018820918,0.047123889803846894,15.0,2.683427224289898
30,1.7005963345971125,0.00942477796076938,3.0,3.185586070032379
31,4.327375954786276,0.047123889803846894,15.0,0.4720008928210704
32,5.722609188850019,0.047123889803846894,15.0,1.7920180966369696
33,5.98643487331687,0.00942477796076938,3.0,1.2742195514846837
34,3.15172527732569,0.00942477796076938,3.0,3.5011584217654113
35,3.657658494969653,0.00942477796076938,3.0,1.5207021253718667
36,4.335703129195716,0.047123889803846894,15.0,2.3177814245024178
37,6.11810523491617,0.00942477796076938,3.0,0.4247324381460009
38,4.964293565394505,0.047123889803846894,15.0,1.0069798611257634
39,0.19492851891109045,0.00942477796076938,3.0,2.292766182899806
40,5.740810181985351,0.047123889803846894,15.0,2.3289344361503526
41,1.1183137505480816,0.00942477796076938,3.0,0.004274098804265325
42,5.28207207557979,0.00942477796076938,3.0,3.389061185760843
43,3.807676506550142,0.00942477796076938,3.0,2.660667668886408
44,3.8890934648904927,0.00942477796076938,3.0,2.4938785933086534
45,5.125385564372896,0.00942477796076938,3.0,3.07157173052578
46,4.800326021871976,0.00942477796076938,3.0,0.302232326086167
47,0.6264588499712787,0.047123889803846894,15.0,2.1485270039089346
48,2.59023695633255,0.00942477796076938,3.0,3.3041511351004234
49,2.5048923142075257,0.047123889803846894,15.0,0.8699548774836519
50,0.3854104791390023,0.047123889803846894,15.0,0.9999219169487898
51,4.088310110688017,0.00942477796076938,3.0,2.7128927149887776
52,0.5823428629281637,0.00942477796076938,3.0,0.938105577598225
53,5.219733256020898,0.00942477796076938,3.0,0.5444701035343589
54,3.172099779564132,0.00942477796076938,3.0,0.9660587333264332
55,1.9977015509396716,0.047123889803846894,15.0,0.9622541292993376
56,4.562623801685155,0.047123889803846894,15.0,2.9382526442101997
57,3.879754623831777,0.00942477796076938,3.0,0.049343329137722325
58,5.1283832375542975,0.00942477796076938,3.0,3.373426074578739
59,5.25243179015956,0.00942477796076938,3.0,1.3665215129487254
60,1.5962184369059844,0.00942477796076938,3.0,1.851840944140489
61,5.276160319169222,0.047123889803846894,15.0,1.177436334636102
62,1.2199629167569783,0.00942477796076938,3.0,3.678292029949658
63,1.6467423382536774,0.047123889803846894,15.0,1.4512678098225487
64,2.6050098570660936,0.00942477796076938,3.0,3.4345137902581024
65,3.5042797107938304,0.047123889803846894,15.0,3.128413138693882
66,0.6349836330227899,0.047123889803846894,15.0,0.10324809805362412
67,3.260833696971683,0.047123889803846894,15.0,2.6124539442025947
68,4.81598651950724,0.00942477796076938,3.0,2.703872358236075
69,3.4199578642335813,0.00942477796076938,3.0,0.13767084120615625
70,3.2283616624107747,0.047123889803846894,15.0,2.3509865661738227
71,0.7391949029677242,0.047123889803846894,15.0,2.894593699041544
72,0.8485217884209558,0.047123889803846894,15.0,1.341285104090908
73,1.3237878740214173,0.047123889803846894,15.0,3.7016139441149436
74,0.7230516903692675,0.047123889803846894,15.0,2.7317789746566397
75,4.573385026525989,0.00942477796076938,3.0,2.1682973216197445
76,4.667340234664701,0.047123889803846894,15.0,2.1991804960899275
77,1.0517024529392043,0.00942477796076938,3.0,0.5342036146665263
78,4.539091328822093,0.047123889803846894,15.0,2.70776316582204
79,4.51571913471826,0.047123889803846894,15.0,1.4568042547047435
80,3.229306012459875,0.047123889803846894,15.0,1.1993422696467992
81,1.129950766959177,0.047123889803846894,15.0,2.4941946324897546
